covariate,coef,exp(coef),se(coef),coef lower 95%,coef upper 95%,exp(coef) lower 95%,exp(coef) upper 95%,cmp to,z,p,-log2(p)
Age,0.043259720991169905,1.0442090626478433,0.10129653791083923,-0.1552778450726712,0.241797287055011,0.8561772598000476,1.2735360044140092,0.0,0.42706021235638797,0.6693354718103672,0.5791986221217889
Gender,-0.04426057866722953,0.9567046281725675,0.19574515267765802,-0.4279140280637334,0.3393928707292743,0.6518674546970376,1.4040948646411542,0.0,-0.2261132807723486,0.8211133155035181,0.28434676395105896
Grade,0.9496417832636134,2.584783580718772,0.1299917975318117,0.6948625418156398,1.204421024711587,2.0034336666588115,3.334827736171393,0.0,7.305397735047215,2.7644776983767154e-13,41.71805830032344
IDH_mutation,-0.7928010682664696,0.45257532379655596,0.22693993294822287,-1.2375951634989213,-0.34800697303401795,0.2900809771293596,0.7060939525800669,0.0,-3.4934401273809748,0.0004768398971373812,11.034207428577009
TP53,0.0006706510048651102,1.0006708759415321,0.0003526495751909994,-2.0529461672598296e-05,0.0013618314714028187,0.9999794707490554,1.0013627591849632,0.0,1.9017490791017608,0.057203966226165325,4.127741010315703
PTEN,4.429020543108283e-05,1.0000442911862568,0.00038679219810048757,-0.0007138085723469547,0.0008023889832091204,0.9992864461283859,1.0008027109833668,0.0,0.11450646018350233,0.9088363255983496,0.13790759530747615
EGFR,-0.15164317426016985,0.8592948445615827,0.19768246993348434,-0.5390936957047212,0.23580734718438154,0.5832766390215591,1.2659304016165513,0.0,-0.7671048136498615,0.4430192001655394,1.1745588692823519
ATRX,-0.5295624958185665,0.5888625431544299,0.33811998337919424,-1.192265485695069,0.13314049405793593,0.30353283525208336,1.1424104889420617,0.0,-1.566196976960908,0.11730251022895961,3.091694208067216
EZH2,0.4479244633216554,1.5650604717190142,0.24997107835819934,-0.04200984743705505,0.9378587740803659,0.9588603382091679,2.554505784139569,0.0,1.7919051526424836,0.07314816046400811,3.773034605969033
Radio,-0.7534687889656577,0.47073085144655213,0.19309751093635083,-1.1319329559052345,-0.37500462202608087,0.3224094504705915,0.6872861021293418,0.0,-3.902011917771522,9.5396459507275e-05,13.35570475061777
Chemo,-0.4698357822172988,0.6251049131972108,0.19618150850246616,-0.8543444733148708,-0.08532709111972675,0.42556206695806814,0.9182118963196848,0.0,-2.3949035044319307,0.016624739845686236,5.910524425177437
